Rank,Distribution,AICc,BIC,AD,Log-likelihood
1,Gamma_3P,1038.1073880407087,1045.6728985986729,0.6251279603603398,-515.9286940203543
2,Lognormal_3P,1038.1225905320634,1045.6881010900277,0.5704564910585725,-515.9362952660317
3,Lognormal_2P,1039.0357189595093,1044.1223479912792,0.8206248100736477,-517.4560038096515
4,Loglogistic_3P,1039.147932439856,1046.7134429978203,0.4853490605780204,-516.448966219928
5,Weibull_3P,1039.282455232393,1046.8479657903572,0.8388158725155547,-516.5162276161965
6,Loglogistic_2P,1039.6093520121317,1044.6959810439016,0.6940522031662452,-517.7428203359627
7,Weibull_Mixture,1041.4046374212846,1053.7921904788845,0.4234726583057541,-515.3831697744721
8,Gamma_2P,1042.6025828291647,1047.6892118609346,1.1320047236848574,-519.2394357444792
9,Normal_2P,1054.119353216963,1059.2059822487329,2.0809190440809355,-524.9978209383784
10,Weibull_2P,1065.6215848293127,1070.7082138610826,3.0890842558607177,-530.7489367445532
11,Weibull_DS,1067.7478734890833,1075.3133840470475,3.0890824421675447,-530.7489367445417
12,Weibull_CR,1069.9189261206618,1079.9185542330351,3.089082114397943,-530.7489367445414
13,Exponential_2P,1076.2590284878368,1081.3456575196067,8.485697022519414,-536.0676585738153
14,Gumbel_2P,1098.2857702496274,1103.3723992813973,5.752565487070431,-547.0810294547106
15,Exponential_1P,1267.9167947265016,1270.481148585959,28.909027119774173,-632.9379891999855
